schema_version,rf_channel,callsign,service_class,detectability_db,distance_km,bearing_deg,frequency_tolerance,chime_ch_index,nominal_pilot_mhz,city,state_prov,erp_kw,evidence_status
dtv_transmitter_census_v1,16,K16JS-D,Translator (LPTV),,550.4,209.2,None specified,813,482.309441,Salem,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,19,K19MI-D,Translator (LPTV),,550.4,209.2,None specified,767,500.309441,SALEM,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36QX-D,Translator (LPTV),,550.4,209.2,None specified,506,602.309441,SALEM,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,29,CIFG-DT,Full-power,,546.7,340.2,±1 kHz,614,560.309441,Prince George,BC,30.000,reported_on_air_licensed
dtv_transmitter_census_v1,15,K15IO-D,Translator (LPTV),,558.4,150.1,None specified,829,476.309441,MCCALL & NEW MEADOWS,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,25,K25OR-D,Translator (LPTV),,558.4,150.1,None specified,675,536.309441,MCCALL,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,27,K27DX-D,Translator (LPTV),,558.4,150.1,None specified,644,548.309441,MCCALL,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,31,K11WT-D,Translator (LPTV),,558.4,150.1,None specified,583,572.309441,MCCALL,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,19,K19EI-D,Translator (LPTV),,563.3,217.2,None specified,767,500.309441,PACIFIC C/CLOVERDALE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,27,KSLM-LD,Low-power (LPTV),,563.3,211.1,None specified,644,548.309441,DALLAS,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,26,K11WR-D,Translator (LPTV),,564.9,153.5,None specified,660,542.309441,COUNCIL,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,33,K33RC-D,Translator (LPTV),,564.9,153.5,None specified,552,584.309441,COUNCIL,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,16,K16EM-D,Translator (LPTV),,566.5,189.8,None specified,813,482.309441,"PRINEVILLE, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,19,K19LT-D,Translator (LPTV),,566.5,189.8,None specified,767,500.309441,"PRINEVILLE, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,22,K22IL-D,Translator (LPTV),,566.5,189.8,None specified,721,518.309441,"PRINEVILLE, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,23,K23CU-D,Translator (LPTV),,566.5,189.8,None specified,706,524.309441,PRINEVILLE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,35,K35LD-D,Translator (LPTV),,566.5,189.8,None specified,521,596.309441,PRINEVILLE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,32,K32KP-D,Translator (LPTV),,569.7,196.4,None specified,568,578.309441,BLACK BUTTE RANCH,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,17,K17KF-D,Translator (LPTV),,572.9,155.9,None specified,798,488.309441,CAMBRIDGE,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,19,K11PB-D,Translator (LPTV),,572.9,155.9,None specified,767,500.309441,CAMBRIDGE,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,34,K34LS-D,Translator (LPTV),,579.4,174.8,None specified,537,590.309441,SENECA,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,20,K20DD-D,Translator (LPTV),,584.2,208.2,None specified,752,506.309441,"ALBANY, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,34,KVDO-LD,Low-power (LPTV),,584.2,208.2,None specified,537,590.309441,ALBANY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,21,K21LB-D,Translator (LPTV),,587.4,216.0,None specified,736,512.309441,LINCOLN CITY,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,23,K23OC-D,Translator (LPTV),,587.4,216.0,None specified,706,524.309441,LINCOLN CITY/NEWPORT,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,32,K32NK-D,Translator (LPTV),,587.4,216.0,None specified,568,578.309441,"LINCOLN CITY, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,14,K14GW-D,Translator (LPTV),,597.1,208.9,None specified,844,470.309441,CORVALLIS,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,16,K16ML-D,Translator (LPTV),,597.1,208.9,None specified,813,482.309441,CORVALLIS,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,15,KFXO-CD,Class A,,598.7,193.1,±1 kHz,829,476.309441,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,18,KOHD,Full-power,,598.7,193.1,±1 kHz,783,494.309441,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,20,KQRE-CD,Class A,,598.7,193.1,±1 kHz,752,506.309441,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,21,KTVZ,Full-power,,598.7,193.1,±1 kHz,736,512.309441,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,14,KBND-LD,Low-power (LPTV),,598.7,193.1,None specified,844,470.309441,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,27,K27DO-D,Translator (LPTV),,598.7,193.1,None specified,644,548.309441,"BEND, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,28,K28MH-D,Translator (LPTV),,598.7,193.1,None specified,629,554.309441,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,29,K29NB-D,Translator (LPTV),,598.7,151.7,None specified,614,560.309441,CASCADE,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,31,K31NO-D,Translator (LPTV),,598.7,193.1,None specified,583,572.309441,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,32,K32CC-D,Translator (LPTV),,598.7,193.1,None specified,568,578.309441,"MONTGOMERY RANCH,ETC",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36OG-D,Translator (LPTV),,598.7,193.1,None specified,506,602.309441,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,30,KOAB-TV,Full-power,,598.7,193.1,±1 kHz,,nan,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,16,KOAB-TV,Full-power,,598.7,193.1,±1 kHz,,nan,BEND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,17,K17ED-D,Translator (LPTV),,618.0,159.6,None specified,798,488.309441,PAYETTE,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,15,K15DS-D,Translator (LPTV),,619.6,214.5,None specified,829,476.309441,"NEWPORT, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,18,K18FR-D,Translator (LPTV),,619.6,214.5,None specified,783,494.309441,NEWPORT,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,24,K24JE-D,Translator (LPTV),,619.6,193.6,None specified,690,530.309441,SUNRIVER,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,29,K29AZ-D,Translator (LPTV),,619.6,214.5,None specified,614,560.309441,NEWPORT,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,18,KCES-LD,Low-power (LPTV),,622.8,207.0,None specified,783,494.309441,HARRISBURG,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,25,WPNB680,Low-power (LPTV),,622.8,193.6,None specified,675,536.309441,Spring River Butte,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,30,K30QD-D,Translator (LPTV),,622.8,160.0,None specified,598,566.309441,"ONTARIO, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,22,KRID-LD,Low-power (LPTV),,626.0,159.7,None specified,721,518.309441,FRUITLAND,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,15,K15ME-D,Translator (LPTV),,630.9,134.7,None specified,829,476.309441,SALMON,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,29,K29LY-D,Translator (LPTV),,630.9,134.7,None specified,614,560.309441,SALMON,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,30,K30PW-D,Translator (LPTV),,630.9,134.7,None specified,598,566.309441,SALMON,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,32,K32NQ-D,Translator (LPTV),,630.9,134.7,None specified,568,578.309441,SALMON,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36PM-D,Translator (LPTV),,630.9,134.7,None specified,506,602.309441,SALMON,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,16,CJEO-DT,Full-power,,618.7,38.6,±1 kHz,813,482.309441,Edmonton,AB,32.000,reported_on_air_licensed
dtv_transmitter_census_v1,17,CKEM-DT,Full-power,,618.7,38.6,±1 kHz,798,488.309441,Edmonton,AB,107.000,reported_on_air_licensed
dtv_transmitter_census_v1,25,CBXT-DT,Full-power,,640.3,40.9,±1 kHz,675,536.309441,Edmonton,AB,90.800,reported_on_air_licensed
dtv_transmitter_census_v1,27,CBXFT-DT,Full-power,,640.3,40.9,±1 kHz,644,548.309441,Edmonton,AB,17.480,reported_on_air_licensed
dtv_transmitter_census_v1,30,CKES-DT,Full-power,,634.0,41.0,±1 kHz,598,566.309441,Edmonton,AB,42.000,reported_on_air_licensed
dtv_transmitter_census_v1,14,K14SB-D,Translator (LPTV),,637.3,152.9,None specified,844,470.309441,TERRACE LAKES,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36BA-D,Translator (LPTV),,638.9,175.9,None specified,506,602.309441,BURNS,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,15,KORY-CD,Class A,,642.1,205.5,±1 kHz,829,476.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,17,KMTR,Full-power,,642.1,205.5,±1 kHz,798,488.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,23,KEVU-CD+KEZI,Full-power,,642.1,205.5,±1 kHz,706,524.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,28,KVAL-TV,Full-power,,642.1,205.5,±1 kHz,629,554.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,29,KEPB-TV,Full-power,,642.1,205.5,±1 kHz,614,560.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,16,K08QB-D,Translator (LPTV),,642.1,153.0,None specified,813,482.309441,CROUCH/GARDEN VALLEY,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,19,K19GH-D,Translator (LPTV),,642.1,205.5,None specified,767,500.309441,"EUGENE, ETC.",OR,,reported_on_air_unverified
dtv_transmitter_census_v1,21,K21FS-D,Translator (LPTV),,642.1,205.5,None specified,736,512.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,31,KLSR-TV,Full-power,,642.1,205.5,±1 kHz,583,572.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,25,KCKW-LD+KEZI,Full-power,,642.1,205.5,None specified,675,536.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,27,K03IM-D,Translator (LPTV),,642.1,205.5,None specified,644,548.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,35,K06QR-D,Translator (LPTV),,642.1,205.5,None specified,521,596.309441,EUGENE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,23,K23PN-D,Translator (LPTV),,643.7,193.6,None specified,706,524.309441,LA PINE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,28,K28QR-D,Translator (LPTV),,643.7,193.6,None specified,629,554.309441,LA PINE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,30,K30JT-D,Translator (LPTV),,643.7,193.6,None specified,598,566.309441,LA PINE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,34,K34AI-D,Translator (LPTV),,643.7,193.6,None specified,537,590.309441,LA PINE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36OD-D,Translator (LPTV),,643.7,193.6,None specified,506,602.309441,NORTH LA PINE,OR,,reported_on_air_unverified
