relative_path,role,size_bytes,sha256
lower_additional/snr_m36/part_1/dtv_snr_eval.csv,trial_csv,407830,99733c29bb2ae9968ff0377cec8e990264d6d4e1ddb75071750d88abca26f424
lower_additional/snr_m36/part_1/dtv_snr_eval.json,metadata_json,1404961,73e30f8ff679820f2f18cc8b67f1645fc34288adecc7ce4cdb8cfad50c48c97a
lower_additional/snr_m36/part_1/dtv_snr_summary.csv,summary_csv,2494,d6405fedbc2d9a2deae5a846dbb78e545f6012cda44b4000642d2b48ae0743da
lower_additional/snr_m36/part_2/dtv_snr_eval.csv,trial_csv,405141,baf00d7f2a786e45390974ae6a0222334807db1b255f7dbdc6cbb8e1f76e1c0b
lower_additional/snr_m36/part_2/dtv_snr_eval.json,metadata_json,1402463,22f68118748914ed0a1e21469c7c98098f99478626b150308474b03833669f97
lower_additional/snr_m36/part_2/dtv_snr_summary.csv,summary_csv,2501,73117986451f56cd7f700db828dbf177dbc5de828e7ca9d4c2355bbaeccc9c2f
lower_additional/snr_m39/part_1/dtv_snr_eval.csv,trial_csv,400169,a9d8635a278e05d317940cea0e112cdeb99d9b86348ae829159bf9cb0f6d485d
lower_additional/snr_m39/part_1/dtv_snr_eval.json,metadata_json,1397842,1a9d597459d76ba7d26a87591a16eaa27edfeb899bdd75489478dd4c9d22f0cf
lower_additional/snr_m39/part_1/dtv_snr_summary.csv,summary_csv,2494,e674b9dcb6803de6ea51c146e1df54afc4bda2fc380a04551cb5d4e4d784bae5
lower_additional/snr_m39/part_2/dtv_snr_eval.csv,trial_csv,401938,0056803f69332a0d6718a65288992419c2fddfe50bc8cae6600c3d926df752df
lower_additional/snr_m39/part_2/dtv_snr_eval.json,metadata_json,1399501,4cd3fa99dc2a38ccfcdf1659119f1a6974e6e1613b5c777a8d6559d20ff845f4
lower_additional/snr_m39/part_2/dtv_snr_summary.csv,summary_csv,2501,db1726febc34131cb24329e64d60e471fcd16916ef9ea80228f30b4bf313313c
lower_additional/snr_m42/part_1/dtv_snr_eval.csv,trial_csv,397153,523eff23882a6b49f065a83771a55b6b220bfd4d84c3f0bc68951b0a37818cb5
lower_additional/snr_m42/part_1/dtv_snr_eval.json,metadata_json,1394959,c117e138f33829e95b3ba4ef72f9246f4fb37d049ce274947fda90bd7abdee52
lower_additional/snr_m42/part_1/dtv_snr_summary.csv,summary_csv,2494,e15463798428d3e3d816ccb44522d983645b5eac3f6cca84e65de9d53ec1cbe2
lower_additional/snr_m42/part_2/dtv_snr_eval.csv,trial_csv,400646,c811bd93df4ae0e64bf3d7fdba81bd50b058ba966e5e3258032709a111fe8e9c
lower_additional/snr_m42/part_2/dtv_snr_eval.json,metadata_json,1398205,9a6f1bceea50523ecfe4b0d068daea574129686ea9dbf06a3c194a5e479117fe
lower_additional/snr_m42/part_2/dtv_snr_summary.csv,summary_csv,2492,a22296d9a6b5b64c731ebdd285129a2ea8d9254755ea16cba1ce1e1722ce02fe
lower_additional/snr_m45/part_1/dtv_snr_eval.csv,trial_csv,394018,440238610bcf734ef3ff048a3c0a12b683a8fa79c48a1619f28040d3b2a832a6
lower_additional/snr_m45/part_1/dtv_snr_eval.json,metadata_json,1392067,38dad15e9e14879c71f7af41a23d131dd7f60ab34d44f877a5c14c5e23c900b9
lower_additional/snr_m45/part_1/dtv_snr_summary.csv,summary_csv,2501,2ccde03ff1e546ccc90e6956b8a75dc50aff1464e5926fded093ae189283f14a
lower_additional/snr_m45/part_2/dtv_snr_eval.csv,trial_csv,396854,70ee0a29ab2e564e7fc8f21d88f428f1112f2e5f7a4ca2d35d5126688a3d37d4
lower_additional/snr_m45/part_2/dtv_snr_eval.json,metadata_json,1394695,f7b6df30b7198c3e63613a76a0c58341cf89570fae99108255ecc50ccdcbf0ac
lower_additional/snr_m45/part_2/dtv_snr_summary.csv,summary_csv,2497,5ff55e2a8c2c81d77df72c91f0864c62be9d27096212c6364a55549ee76c41bf
upper/dtv_snr_eval.csv,trial_csv,657928,0ea9ea84e71b52c86392a6c8a64ce8e668c8f5a781d99017c5ce0de7cf638e10
upper/dtv_snr_eval.json,metadata_json,2246724,5d3ded09e20284fce37895e3692860fd0cc2feca01781343a0a1b31a53430c48
upper/dtv_snr_summary.csv,summary_csv,9918,3d398c982f31394e1b859b3a26d315a8da86c29a431d795e18eaef2c1a083568
